,
jeg,I
det,the
er,is
du,you
ikke,not
en,one
og,and
i,in
har,hair
vi,we
på,on
til,to
med,with
å,oh
han,he
deg,yourself
for,for
meg,me
hva,what
at,that
den,it
så,so
som,as
de,the
kan,can
var,spring
vil,want
av,of
skal,shall
om,about
men,but
et,somewhere
her,here
ja,yes
bare,just
dere,you
hun,she
må,must
noe,something
ham,him
dette,this
nei,no
nå,now
kom,arrived
min,my
vet,know
der,there
din,your
ut,out
hvor,where
da,then
fra,from
oss,us
se,see
være,be
ha,have
dem,them
gjør,do
igjen,again
noen,some
kommer,shall
ta,toe
ville,wanted
hvis,if
alle,everyone
få,few
hvorfor,why
tror,believe
går,yesterday
alt,everything
opp,up
sa,so
hvordan,how
gå,go
ingen,no
når,when
eller,or
hvem,whose
får,can
seg,themselves
la,let
blir,becomes
ser,watch
takk,thanks
gjøre,do
bli,become
bra,Good
hadde,had
si,say
denne,this
henne,her
litt,slightly
inn,inside
jo,Yes
etter,after
kunne,may
vel,Well
to,two
skulle,should have
ved,by
aldri,never
hei,Hi
over,above
e,e
god,good
tilbake,back
kanskje,maybe
man,mane
også,also
ble,became
nok,enough
sier,say
selv,self
hvad,depat
før,for
godt,well
ok,ok
sammen,together
ned,down
mig,me
gi,give
dig,inform
hans,his
gang,hall
dag,day
tar,taking
mer,more
trenger,need
mine,mine
vært,been
mitt,my
mye,a lot
helt,hero
andre,second
sett,set
vær,weather
gjorde,did
hele,all
siden,since
komme,come
enn,than
deres,their
år,year
ditt,your
mann,man
hold,range
mr,mr
af,af
mener,mean
fikk,got
mot,towards
vent,wait
dine,your
far,father
a,a
fordi,because
faen,fuck
mange,many
snakke,talk
tre,three
hjem,home
ting,thing
gjort,done
liker,like
sant,TRUE
folk,folk
greit,good
lkke,notkke
alltid,always
rett,straight
sånn,like that
tid,time
dra,drag
unnskyld,Pardon
morgen,morning
sir,sir
virkelig,really
elsker,love
bedre,better
pa,on
veldig,very
nu,nu
tok,took
hit,here
vår,spring
uten,without
mor,tender
står,stands
kveld,evening
død,death
burde,should
snakker,speaks
livet,life
finne,find
gikk,walked
sin,sin
gud,God
beklager,sorry
nej,nej
trodde,believed
ingenting,nothing
hør,hear
akkurat,just
kjenner,know
første,first
sted,place
disse,these
ute,out
slik,such
samme,same
klar,clear
lenge,long
hjelpe,help
fint,nice
visste,knew
vite,know
forstår,understand
under,under
noget,something
hjelp,help
skjer,happen
okay,okay
gir,gear
eneste,only
heter,called
holder,holder
bilen,car
hallo,hello
vei,road
veien,road
penger,money
siste,last
pappa,dad
barn,children
rundt,round
én,one
snill,kind
tro,believe
snart,soon
liv,life
høre,hear
hver,each
verden,world
tak,roof
feil,error
hører,listen
redd,afraid
blitt,become
helvete,hell
hos,at
mamma,mum
stor,big
lille,little
dit,there
døde,died
holde,hold
herregud,OMG
prøver,samples
visst,hate
venn,friend
heller,rather
beste,best
husker,remember
borte,gone
hennes,her
sikkert,certainly
først,first
bort,away
drar,drag
like,like
ga,go
fem,five
slutt,end
tiden,time
gjerne,happily
drepe,kill
fant,found
ud,out
store,big
vekk,away
fått,gotten
inne,in
sikker,sure
annet,other
flere,several
os,os
tatt,taken
pengene,money
glad,happy
hørte,heard
neste,next
mannen,man
menn,men
våre,our
finner,finds
orden,merchage
navn,name
gamle,old
fortelle,tell
bør,load
dø,die
alene,alone
annen,other
nye,new
ellers,else
venter,wait
synes,think
sagt,said
måtte,had to
l,l
ny,new
venner,friends
minutter,minutes
liten,small
skjedde,happened
betyr,mean
faren,danger
stille,quiet
gutt,boy
derfor,therefore
r,r
have,have
lenger,farther
lei,sorry
byen,city
s,s
hatt,hat
gjennom,through
natt,night
langt,far
klart,clear
kjære,honey
flott,great
n,n
ennå,yet
fire,four
klarer,manner
par,couple
politiet,police
hørt,heard
sitt,sin
unna,away
herfra,from here
gør,gul
slå,hit
dollar,dollar
hjemme,home
fort,fast
engang,once
gode,good
føler,feel
senere,future
skjønner,understand
dager,days
dagen,day
meget,plenty
ett,one
lige,allows
håper,hope
ti,ten
faktisk,actual
galt,hog
ganger,times
pokker,damn
nesten,nearly
tenkte,thought
hvilken,which
be,pray
huset,house
jobb,job
klare,manage
bak,behind
snakket,talked
begge,both
vise,show
slags,kind
mens,while
fyr,guy
ferdig,finished
rolig,calm
hodet,head
tenk,think
tii,thi
d,d
lad,charge
op,op
virker,works
ei,a
jævla,fucking
ringer,call
hverandre,each other
kommet,arrived
skyld,fault
stedet,instead
jobben,job
sine,their
bor,drill
gammel,old
prøve,try
hyggelig,nice
dårlig,bad
drept,kill
ord,word
vårt,our
helst,preferably
tenker,think
kvinne,woman
dr,dr
allerede,already
begynner,start
g,g
mennesker,human beings
jobber,job
ligger,is located
ønsker,wishes
dør,door
kun,only
grunn,superficial
stå,stand
stopp,stop
fortell,tell
gøre,green
kone,wife
øyeblikk,moment
john,John
hende,abide
slipp,release
spiller,player
velkommen,welcome
del,share
jente,girl
drepte,killed
tenkt,thought
riktig,correct
spise,eat
vente,wait
seks,six
egen,own
fortsatt,still
glem,forget
ganske,pretty
ses,savor
møte,Meeting
åh,oh
slapp,miss
t,t
mi,mi
fin,fine
funnet,found
sånt,like that
nede,down
gutten,boy
jack,jack
nettopp,just
fyren,dude
stemmer,votes
timer,hours
sønn,son
herr,sir
gutter,boy
spør,traces
selvfølgelig,obviously
di,di
mistet,lost
leve,live
oppe,upstairs
spille,play
miss,miss
sig,sig
kaptein,captain
sent,sent
new,new
legg,lay
sitter,sit
tenke,imagine
all,all
jenta,girl
gått,walked
lett,easy
ring,ring
familien,family
pass,passport
lang,long
måte,manner
bil,car
ringe,ring
vanskelig,difficult
ro,calmness
saken,case
kjeft,shut
lever,liver
moren,the mother
videre,further
problemer,problems
viktig,important
ber,pray
mat,food
nytt,new
full,full
problem,problem
mrs,mrs
fortalte,told
tur,trip
fast,solid
treffe,hit
ba,ba
best,best
stort,large
fred,peace
bruke,use
prøv,try
mellom,between
syns,blank
fram,frem
hus,House
tom,empty
bliver,guards
fantastisk,fantastic
redde,save
hej,hej
side,page
setter,sets
dreper,kill
hente,get
dro,leaved
kjører,driving
fri,free
ma,ma
forsiktig,careful
navnet,name
uansett,regardless
holdt,kept
fly,fly
satt,sat
j,j
utrolig,incredible
resten,the rest
straks,soon
sette,set
gal,crazy
kaller,calls
unge,youth
egentlig,actually
tusen,thousand
åpne,to open
imot,against
na,now
mest,most
havde,port
sagde,sage
fremdeles,still
hater,hate
tilbage,worship
vann,water
kjøre,drive
familie,family
kvinner,women
utenfor,outside
hvert,each
skolen,the school
landet,country
spørsmål,questions
skjedd,happened
prøvde,tried
gift,married
efter,afterwards
the,the
mit,mit
bror,brother
herrer,gentlemen
øynene,eyes
altså,therefore
skje,happen
driver,driver
plass,place
nødt,need
mulig,possible
foran,in front of
enda,though
mere,date
løp,run
uke,week
damer,ladies
finnes,exists
gangen,hallway
lar,thigh
kona,my wife
time,hour
dritt,shit
mindre,less
ønske,desire
rommet,room
vis,vis
lyst,want
snakk,talk
lngen,lng
lite,small
lære,learn
bruker,User
spørre,ask
sjanse,chance
vondt,hurt
måske,month
ind,ing
lidt,suffer
an,an
lykke,happiness
nogen,some
aldrig,all
idiot,idiot
nummer,number
sove,sleep
fins,ful
betale,pay
lov,law
land,country
selvsagt,of course
passer,suitable
dum,stupid
siger,siger
venstre,left
rom,room
lover,promise
idé,idea
vii,vii
farvel,goodbye
begynte,started
hendene,hands
været,weather
ringte,dial
svært,vast
skai,shark
ventet,expected
huske,remember
kjent,known
høres,sound
lage,make
m,m
york,york
historie,history
perfekt,perfect
måneder,months
frank,frank
små,small
skrive,write
sådan,such
reise,travel
spiser,eats
gitt,given
mand,mand
ekte,genuine
mente,thought
husk,remember
laget,layer
fortsett,proceed
våpen,arms
michael,michael
kjør,drive
kjøpe,purchase
jobbet,worked
slår,hits
svar,answer
herre,master
hent,obtain
aner,ancestry
finn,find
vores,vores
tidlig,early
gifte,marry
synd,sin
igen,way
bryr,care
stoppe,stop
jer,u
ø,ow
kjærlighet,love
sender,sending
skynd,hurry
fortalt,told
masse,a lot
bruk,use
hånd,hand
by,city
blod,blood
kort,card
viser,show
sannheten,truth
rart,weird
kaffe,coffee
morsomt,funny
hjelper,helper
uker,week
millioner,millions
middag,dinner
jobbe,work
ung,young
stund,while
vennen,friend
barna,kids
lager,storage
tv,man
handler,shop
sitte,sit
hardt,hard
undskyld,undskyld
stadig,ever
david,david
legge,lay
harry,harry
henter,retrieving
ben,leg
datter,daughter
vakker,beautiful
george,george
skyte,shoot
kjente,knew
tide,tide
live,live
skyt,shoot
tale,speech
charlie,charlie
valg,choice
foregår,takes place
betaler,Pays
likte,liked
skikkelig,decent
tager,tag
slo,beat
frem,forward
forstå,understand
døren,door
jenter,girls
sam,sam
klokka,the clock
høyre,right
rør,tube
begynne,start
elsket,loved
stikker,stick
sendte,sent
telefonen,phone
doktor,doctor
lese,read
følge,follow
general,general
drink,drink
drikke,drink
gjelder,concern
krig,war
bo,live
blev,became
hen,toughen
søster,sister
jøss,yeast
krigen,war
fall,downfall
sige,sive
fa,few
verre,worse
sende,send
tage,tage
syk,sick
ille,bad
skyter,shoots
stikke,sting
skutt,shot
laver,lower
tjeneste,service
sak,case
klarte,was able to
vare,item
dame,lady
behøver,needs
døra,door
sønnen,son
farlig,dangerous
forteller,says
broren,brother
særlig,especially
peter,Peter
sist,last
måten,way
eget,own
kl,k1
hvite,white
blive,blive
svarte,black
intet,nothing
slipper,release
gratulerer,congratulations
rette,correct
avtale,deal
likevel,Nevertheless
væk,remark
pris,price
nær,near
forbi,past
følger,following
fengsel,prison
sover,asleep
onkel,uncle
følg,follow
leter,looking
egne,fit
drittsekk,asshole
natten,the night
føles,feel
bord,table
klokken,time
sex,sex
største,biggest
flink,good
problemet,problem
hjertet,heart
forklare,explain
nogle,nogle
bekymret,worried
slåss,fight
guds,God's
slippe,let go
sint,angry
kamp,match
åtte,eight
baby,baby
sekunder,seconds
større,bigger
skriver,write
skjøt,shot
fanden,fand
nar,when
ofte,often
hjerte,heart
sto,stood
mike,mike
tag,tag
passe,fit
sendt,sent
vannet,water
endelig,finally
skrev,wrote
